#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-06 00:00:00-05:00 2017-04-07 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DSM,2017-04-06 00:00,M,M,M,310.00,6.00,M,29.98,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KDSM 060500Z AUTO 31006KT 10SM OVC095 A2998 RMK MADISHF
DSM,2017-04-06 00:05,M,M,M,310.00,6.00,M,29.98,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KDSM 060505Z AUTO 31006KT 10SM OVC100 A2998 RMK MADISHF
DSM,2017-04-06 00:10,M,M,M,310.00,6.00,M,29.98,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KDSM 060510Z AUTO 31006KT 10SM OVC100 A2998 RMK MADISHF
DSM,2017-04-06 00:15,M,M,M,310.00,6.00,M,29.98,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KDSM 060515Z AUTO 31006KT 10SM OVC100 A2998 RMK MADISHF
DSM,2017-04-06 00:20,M,M,M,310.00,6.00,M,29.98,M,10.00,M,BKN,OVC,M,M,9000.00,11000.00,M,M,M,KDSM 060520Z AUTO 31006KT 10SM BKN090 OVC110 A2998 RMK MADISHF
DSM,2017-04-06 00:25,M,M,M,310.00,6.00,M,29.98,M,10.00,M,BKN,OVC,M,M,9000.00,11000.00,M,M,M,KDSM 060525Z AUTO 31006KT 10SM BKN090 OVC110 A2998 RMK MADISHF
DSM,2017-04-06 00:30,M,M,M,310.00,7.00,M,29.98,M,10.00,M,BKN,OVC,M,M,9000.00,11000.00,M,M,M,KDSM 060530Z AUTO 31007KT 10SM BKN090 OVC110 A2998 RMK MADISHF
DSM,2017-04-06 00:35,M,M,M,310.00,8.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KDSM 060535Z AUTO 31008KT 10SM OVC090 A2998 RMK MADISHF
DSM,2017-04-06 00:40,M,M,M,310.00,8.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KDSM 060540Z AUTO 31008KT 10SM OVC090 A2998 RMK MADISHF
DSM,2017-04-06 00:45,M,M,M,310.00,7.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KDSM 060545Z AUTO 31007KT 10SM OVC090 A2998 RMK MADISHF
DSM,2017-04-06 00:50,M,M,M,310.00,9.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KDSM 060550Z AUTO 31009KT 10SM OVC090 A2998 RMK MADISHF
DSM,2017-04-06 00:54,45.00,36.00,70.53,320.00,8.00,0.00,29.98,1015.80,10.00,M,SCT,BKN,OVC,M,9000.00,14000.00,25000.00,M,M,KDSM 060554Z 32008KT 10SM SCT090 BKN140 OVC250 07/02 A2998 RMK AO2 SLP158 T00720022 10106 20067 401110061 53006
DSM,2017-04-06 00:55,M,M,M,320.00,8.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KDSM 060555Z AUTO 32008KT 10SM OVC090 A2998 RMK MADISHF
DSM,2017-04-06 01:00,M,M,M,330.00,8.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KDSM 060600Z AUTO 33008KT 10SM OVC090 A2998 RMK MADISHF
DSM,2017-04-06 01:05,M,M,M,330.00,8.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KDSM 060605Z AUTO 33008KT 10SM OVC090 A2998 RMK MADISHF
