#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-09 00:00:00-05:00 2017-04-10 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMW,2017-04-09 00:00,M,M,M,150.00,10.00,M,29.61,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090500Z AUTO 15010KT 10SM CLR A2961 RMK MADISHF
AMW,2017-04-09 00:05,M,M,M,160.00,9.00,M,29.61,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090505Z AUTO 16009KT 10SM CLR A2961 RMK MADISHF
AMW,2017-04-09 00:10,M,M,M,150.00,9.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090510Z AUTO 15009KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:15,M,M,M,160.00,10.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090515Z AUTO 16010KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:20,M,M,M,160.00,9.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090520Z AUTO 16009KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:25,M,M,M,160.00,9.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090525Z AUTO 16009KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:30,M,M,M,160.00,9.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090530Z AUTO 16009KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:35,M,M,M,150.00,9.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090535Z AUTO 15009KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:40,M,M,M,150.00,8.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090540Z AUTO 15008KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:45,M,M,M,150.00,8.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090545Z AUTO 15008KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:50,M,M,M,150.00,7.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090550Z AUTO 15007KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 00:53,59.00,54.00,83.46,150.00,8.00,0.00,29.60,1001.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090553Z AUTO 15008KT 10SM CLR 15/12 A2960 RMK AO2 SLP015 T01500122 10222 20150 402390056 56012
AMW,2017-04-09 01:00,M,M,M,150.00,8.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090600Z AUTO 15008KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 01:05,M,M,M,150.00,7.00,M,29.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090605Z AUTO 15007KT 10SM CLR A2960 RMK MADISHF
AMW,2017-04-09 01:10,M,M,M,150.00,8.00,M,29.59,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090610Z AUTO 15008KT 10SM CLR A2959 RMK MADISHF
AMW,2017-04-09 01:15,M,M,M,150.00,8.00,M,29.59,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090615Z AUTO 15008KT 10SM CLR A2959 RMK MADISHF
AMW,2017-04-09 01:20,M,M,M,160.00,7.00,M,29.59,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090620Z AUTO 16007KT 10SM CLR A2959 RMK MADISHF
AMW,2017-04-09 01:25,M,M,M,160.00,8.00,M,29.59,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090625Z AUTO 16008KT 10SM CLR A2959 RMK MADISHF
AMW,2017-04-09 01:30,M,M,M,160.00,8.00,M,29.59,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090630Z AUTO 16008KT 10SM CLR A2959 RMK MADISHF
AMW,2017-04-09 01:35,M,M,M,160.00,8.00,M,29.59,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 090635Z AUTO 16008KT 10SM CLR A2959 RMK MADISHF
