#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-10 00:00:00-05:00 2017-04-11 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DSM,2017-04-10 00:00,M,M,M,M,M,M,29.62,M,10.00,M,SCT,SCT,M,M,5500.00,7000.00,M,M,M,KDSM 100500Z AUTO /////KT 10SM SCT055 SCT070 A2962 RMK  LTG DSNT S! MADISHF
DSM,2017-04-10 00:03,68.00,55.00,63.12,300.00,18.00,0.00,29.63,M,10.00,M,SCT,BKN,OVC,M,5500.00,7000.00,14000.00,M,TS,KDSM 100503Z 30018KT 10SM TS SCT055CB BKN070 OVC140 20/13 A2963 RMK AO2 LTG DSNT S AND SW TSB03 FRQ LTGICCCCG VC S-SW TS VCS-SW MOV E T02000128
DSM,2017-04-10 00:05,M,M,M,M,M,M,29.63,M,10.00,M,SCT,BKN,M,M,5500.00,7000.00,M,M,M,KDSM 100505Z AUTO /////KT 10SM SCT055 BKN070 A2963 RMK  LTG DSNT SE-SW!FRQ LTGICCCCG VC S-SW TS VCS-SW MOV E MADISHF
DSM,2017-04-10 00:10,M,M,M,M,M,M,29.63,M,10.00,M,FEW,M,M,M,5500.00,M,M,M,M,KDSM 100510Z AUTO /////KT 10SM FEW055 A2963 RMK  LTG DSNT SE-SW!FRQ LTGICCCCG VC SE-SW TS VC SE-SW MOV E MADISHF
DSM,2017-04-10 00:15,M,M,M,M,M,M,29.63,M,10.00,M,FEW,FEW,SCT,M,6000.00,7999.00,11000.00,M,M,KDSM 100515Z AUTO /////KT 10SM FEW060 FEW079 SCT110 A2963 RMK  LTG DSNT SE-SW!FRQ LTGICCCCG VC SE-SW TS VC SE-SW MOV E MADISHF
DSM,2017-04-10 00:20,M,M,M,M,M,M,29.64,M,10.00,M,FEW,SCT,M,M,9000.00,11000.00,M,M,M,KDSM 100520Z AUTO /////KT 10SM FEW090 SCT110 A2964 RMK  LTG DSNT SE-SW!CONS LTGICCCCG VC SE-SW TS VC SE-SW MOV E MADISHF
DSM,2017-04-10 00:25,M,M,M,M,M,M,29.65,M,10.00,M,FEW,SCT,M,M,9000.00,11000.00,M,M,M,KDSM 100525Z AUTO /////KT 10SM FEW090 SCT110 A2965 RMK  LTG DSNT SE-SW!CONS LTGICCCCG E-SW TS E-SW MOV E MADISHF
DSM,2017-04-10 00:30,M,M,M,260.00,15.00,M,29.66,M,10.00,M,FEW,BKN,M,M,9000.00,11000.00,M,M,-RA,KDSM 100530Z AUTO 26015KT 10SM -RA FEW090 BKN110 A2966 RMK  LTG DSNT E-SW!CONS LTGICCCCG E-SW TS E-SW MOV E MADISHF
DSM,2017-04-10 00:35,M,M,M,M,M,M,29.65,M,10.00,M,SCT,BKN,M,M,7999.00,11000.00,M,M,-RA,KDSM 100535Z AUTO /////KT 10SM -RA SCT079 BKN110 A2965 RMK  LTG DSNT ALQDS!CONS LTGICCCCG E-SW TS E-SW MOV E MADISHF
DSM,2017-04-10 00:40,M,M,M,M,M,M,29.63,M,10.00,18.00,BKN,BKN,OVC,M,7999.00,10000.00,12000.00,M,-RA,KDSM 100540Z AUTO /////G18KT 10SM -RA BKN079 BKN100 OVC120 A2963 RMK  LTG DSNT ALQDS!CONS LTGICCCCG E-SW TS E-SW MOV E MADISHF
DSM,2017-04-10 00:45,M,M,M,160.00,6.00,M,29.59,M,10.00,M,SCT,BKN,OVC,M,7999.00,10000.00,12000.00,M,M,KDSM 100545Z AUTO 16006KT 10SM SCT079 BKN100 OVC120 A2959 RMK  LTG DSNT ALQDS!FRQ LTGICCCCG NE-S TS NE-S MOV E MADISHF
DSM,2017-04-10 00:50,M,M,M,110.00,6.00,M,29.58,M,10.00,M,SCT,BKN,OVC,M,7999.00,10000.00,12000.00,M,M,KDSM 100550Z AUTO 11006KT 10SM SCT079 BKN100 OVC120 A2958 RMK VRB06KT OCNL LTGICCCCG NE-S TS NE-S MOV E MADISHF
DSM,2017-04-10 00:54,71.10,43.00,36.25,30.00,11.00,0.00,29.56,1000.20,10.00,M,SCT,OVC,M,M,8000.00,12000.00,M,M,TS,KDSM 100554Z 03011KT 10SM TS SCT080CB OVC120 22/06 A2956 RMK AO2 PK WND 30031/0514 LTG DSNT NE-S RAB28E45 TSB03 PRESFR SLP002 OCNL LTGICCCCG NE-S TS NE-S MOV E P0000 60000 T02170061 10250 20189 402720156 58
DSM,2017-04-10 00:55,M,M,M,M,M,M,29.55,M,10.00,M,SCT,BKN,OVC,M,7999.00,10000.00,11000.00,M,M,KDSM 100555Z AUTO /////KT 10SM SCT079 BKN100 OVC110 A2955 RMK  LTG DSNT NE-S! MADISHF
DSM,2017-04-10 01:00,M,M,M,110.00,7.00,M,29.55,M,10.00,M,FEW,SCT,BKN,M,7999.00,10000.00,11000.00,M,M,KDSM 100600Z AUTO 11007KT 10SM FEW079 SCT100 BKN110 A2955 RMK  LTG DSNT NE-S! MADISHF
DSM,2017-04-10 01:05,M,M,M,150.00,11.00,M,29.56,M,10.00,M,FEW,SCT,BKN,M,7999.00,10000.00,12000.00,M,M,KDSM 100605Z AUTO 15011KT 10SM FEW079 SCT100 BKN120 A2956 RMK  LTG DSNT NE AND SE! MADISHF
DSM,2017-04-10 01:10,M,M,M,180.00,7.00,M,29.56,M,10.00,M,FEW,SCT,OVC,M,7500.00,10000.00,12000.00,M,M,KDSM 100610Z AUTO 18007KT 10SM FEW075 SCT100 OVC120 A2956 RMK  LTG DSNT SE!OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:15,M,M,M,160.00,8.00,M,29.57,M,10.00,M,FEW,SCT,M,M,10000.00,12000.00,M,M,M,KDSM 100615Z AUTO 16008KT 10SM FEW100 SCT120 A2957 RMK  LTG DSNT SE!OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:20,M,M,M,130.00,7.00,M,29.57,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KDSM 100620Z AUTO 13007KT 10SM FEW120 A2957 RMK  LTG DSNT SE!OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:25,M,M,M,M,M,M,29.60,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KDSM 100625Z AUTO /////KT 10SM FEW120 A2960 RMK  OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:30,M,M,M,260.00,9.00,M,29.62,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KDSM 100630Z AUTO 26009KT 10SM FEW120 A2962 RMK  OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:35,M,M,M,M,M,M,29.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 100635Z AUTO /////KT 10SM CLR A2963 RMK  OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:40,M,M,M,300.00,12.00,M,29.64,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 100640Z AUTO 30012KT 10SM CLR A2964 RMK  OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:45,M,M,M,M,M,M,29.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 100645Z AUTO /////KT 10SM CLR A2965 RMK  OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:50,M,M,M,280.00,10.00,M,29.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 100650Z AUTO 28010KT 10SM CLR A2966 RMK  LTG DSNT S!OCNL LTGICCCCG DSNT NE-SE TS MOV E CB DSNT NE-SE MOV NE MADISHF
DSM,2017-04-10 01:54,64.00,50.00,60.34,280.00,10.00,0.00,29.67,1004.00,10.00,M,FEW,SCT,OVC,M,7000.00,12000.00,15000.00,M,M,KDSM 100654Z 28010KT 10SM FEW070 SCT120 OVC150 18/10 A2967 RMK AO2 LTG DSNT S TSE10 SLP040 FRQ LTGICCG DSNT SE-SW TS MOV E CB DSNT SE-SW MOV E T01780100
DSM,2017-04-10 01:55,M,M,M,280.00,10.00,M,29.67,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KDSM 100655Z AUTO 28010KT 10SM FEW120 A2967 RMK  LTG DSNT S! MADISHF
DSM,2017-04-10 02:00,M,M,M,270.00,10.00,M,29.67,M,10.00,M,SCT,M,M,M,12000.00,M,M,M,M,KDSM 100700Z AUTO 27010KT 10SM SCT120 A2967 RMK  LTG DSNT S-W! MADISHF
DSM,2017-04-10 02:05,M,M,M,280.00,8.00,M,29.66,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KDSM 100705Z AUTO 28008KT 10SM BKN110 A2966 RMK  LTG DSNT S-W! MADISHF
DSM,2017-04-10 02:10,M,M,M,M,M,M,29.68,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KDSM 100710Z AUTO /////KT 10SM BKN110 A2968 RMK  LTG DSNT S-W! MADISHF
DSM,2017-04-10 02:15,M,M,M,260.00,10.00,M,29.68,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KDSM 100715Z AUTO 26010KT 10SM BKN110 A2968 RMK  LTG DSNT S! MADISHF
DSM,2017-04-10 02:20,M,M,M,290.00,7.00,M,29.68,M,10.00,M,FEW,SCT,OVC,M,7500.00,9000.00,11000.00,M,-RA,KDSM 100720Z AUTO 29007KT 10SM -RA FEW075 SCT090 OVC110 A2968 RMK  LTG DSNT S! MADISHF
DSM,2017-04-10 02:25,M,M,M,240.00,12.00,M,29.71,M,10.00,M,SCT,OVC,M,M,7999.00,11000.00,M,M,-RA,KDSM 100725Z AUTO 24012KT 10SM -RA SCT079 OVC110 A2971 RMK MADISHF
DSM,2017-04-10 02:30,62.10,52.00,69.46,210.00,7.00,0.00,29.69,M,10.00,M,SCT,BKN,OVC,M,7000.00,9000.00,11000.00,M,-TSRA,KDSM 100730Z 21007KT 10SM -TSRA SCT070CB BKN090 OVC110 17/11 A2969 RMK AO2 LTG DSNT SE RAB20 TSB30 OCNL LTGICCG SE TS SE MOV E P0000 T01670111
DSM,2017-04-10 02:35,M,M,M,180.00,6.00,M,29.68,M,10.00,M,BKN,OVC,M,M,7999.00,10000.00,M,M,-RA,KDSM 100735Z AUTO 18006KT 10SM -RA BKN079 OVC100 A2968 RMK  LTG DSNT E AND SE!OCNL LTGICCG SE TS SE MOV E MADISHF
DSM,2017-04-10 02:40,M,M,M,M,M,M,29.71,M,10.00,M,BKN,OVC,M,M,7999.00,10000.00,M,M,-RA,KDSM 100740Z AUTO /////KT 10SM -RA BKN079 OVC100 A2971 RMK  LTG DSNT E AND SE!OCNL LTGICCG SE TS SE MOV E MADISHF
