#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00-05:00 2017-04-02 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMW,2017-04-01 00:00,M,M,M,30.00,3.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010500Z AUTO 03003KT 10SM CLR A3013 RMK MADISHF
AMW,2017-04-01 00:05,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010505Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
AMW,2017-04-01 00:10,M,M,M,0.00,0.00,M,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010510Z AUTO 00000KT 10SM CLR A3013 RMK MADISHF
AMW,2017-04-01 00:15,M,M,M,0.00,0.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010515Z AUTO 00000KT 10SM CLR A3014 RMK MADISHF
AMW,2017-04-01 00:20,M,M,M,0.00,0.00,M,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010520Z AUTO 00000KT 10SM CLR A3014 RMK MADISHF
AMW,2017-04-01 00:25,M,M,M,0.00,0.00,M,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010525Z AUTO 00000KT 10SM CLR A3015 RMK MADISHF
AMW,2017-04-01 00:30,M,M,M,0.00,0.00,M,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010530Z AUTO 00000KT 10SM CLR A3015 RMK MADISHF
AMW,2017-04-01 00:35,M,M,M,0.00,0.00,M,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010535Z AUTO 00000KT 10SM CLR A3015 RMK MADISHF
AMW,2017-04-01 00:40,M,M,M,0.00,0.00,M,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010540Z AUTO 00000KT 10SM CLR A3015 RMK MADISHF
AMW,2017-04-01 00:45,M,M,M,0.00,0.00,M,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010545Z AUTO 00000KT 10SM CLR A3015 RMK MADISHF
AMW,2017-04-01 00:50,M,M,M,0.00,0.00,M,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010550Z AUTO 00000KT 10SM CLR A3015 RMK MADISHF
AMW,2017-04-01 00:53,37.00,36.00,96.13,0.00,0.00,0.00,30.15,1021.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 010553Z AUTO 00000KT 10SM CLR 03/02 A3015 RMK AO2 SLP213 T00280022 10061 20022 400720022 53011
