#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-06 00:00:00-05:00 2017-04-07 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMW,2017-04-06 00:00,M,M,M,320.00,9.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060500Z AUTO 32009KT 10SM CLR A2997 RMK MADISHF
AMW,2017-04-06 00:05,M,M,M,320.00,8.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060505Z AUTO 32008KT 10SM CLR A2997 RMK MADISHF
AMW,2017-04-06 00:10,M,M,M,320.00,8.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060510Z AUTO 32008KT 10SM CLR A2997 RMK MADISHF
AMW,2017-04-06 00:15,M,M,M,320.00,9.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060515Z AUTO 32009KT 10SM CLR A2997 RMK MADISHF
AMW,2017-04-06 00:20,M,M,M,320.00,9.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060520Z AUTO 32009KT 10SM CLR A2998 RMK MADISHF
AMW,2017-04-06 00:25,M,M,M,320.00,9.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060525Z AUTO 32009KT 10SM CLR A2998 RMK MADISHF
AMW,2017-04-06 00:30,M,M,M,320.00,10.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060530Z AUTO 32010KT 10SM CLR A2997 RMK MADISHF
AMW,2017-04-06 00:35,M,M,M,320.00,10.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060535Z AUTO 32010KT 10SM CLR A2998 RMK MADISHF
AMW,2017-04-06 00:40,M,M,M,320.00,10.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060540Z AUTO 32010KT 10SM CLR A2998 RMK MADISHF
AMW,2017-04-06 00:45,M,M,M,320.00,10.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060545Z AUTO 32010KT 10SM CLR A2998 RMK MADISHF
AMW,2017-04-06 00:50,M,M,M,320.00,11.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 060550Z AUTO 32011KT 10SM CLR A2998 RMK MADISHF
AMW,2017-04-06 00:53,43.00,37.00,79.19,320.00,11.00,0.00,29.98,1015.30,10.00,M,FEW,M,M,M,9500.00,M,M,M,M,KAMW 060553Z AUTO 32011KT 10SM FEW095 06/03 A2998 RMK AO2 SLP153 T00610028 10106 20061 401170061 53005
AMW,2017-04-06 00:55,M,M,M,330.00,11.00,M,29.98,M,10.00,M,FEW,M,M,M,9500.00,M,M,M,M,KAMW 060555Z AUTO 33011KT 10SM FEW095 A2998 RMK MADISHF
AMW,2017-04-06 01:00,M,M,M,330.00,11.00,M,29.98,M,10.00,M,SCT,M,M,M,9000.00,M,M,M,M,KAMW 060600Z AUTO 33011KT 10SM SCT090 A2998 RMK MADISHF
AMW,2017-04-06 01:05,M,M,M,320.00,11.00,M,29.98,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,KAMW 060605Z AUTO 32011KT 10SM BKN090 A2998 RMK MADISHF
AMW,2017-04-06 01:10,M,M,M,320.00,11.00,M,29.98,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,KAMW 060610Z AUTO 32011KT 10SM BKN090 A2998 RMK MADISHF
AMW,2017-04-06 01:15,M,M,M,320.00,11.00,M,29.98,M,10.00,M,BKN,M,M,M,9000.00,M,M,M,M,KAMW 060615Z AUTO 32011KT 10SM BKN090 A2998 RMK MADISHF
AMW,2017-04-06 01:20,M,M,M,320.00,11.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060620Z AUTO 32011KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 01:25,M,M,M,330.00,10.00,M,29.98,M,10.00,M,FEW,OVC,M,M,6500.00,9000.00,M,M,M,KAMW 060625Z AUTO 33010KT 10SM FEW065 OVC090 A2998 RMK MADISHF
AMW,2017-04-06 01:30,M,M,M,330.00,11.00,M,29.98,M,10.00,M,FEW,OVC,M,M,6500.00,9000.00,M,M,M,KAMW 060630Z AUTO 33011KT 10SM FEW065 OVC090 A2998 RMK MADISHF
AMW,2017-04-06 01:35,M,M,M,320.00,11.00,M,29.98,M,10.00,M,FEW,OVC,M,M,6500.00,9000.00,M,M,M,KAMW 060635Z AUTO 32011KT 10SM FEW065 OVC090 A2998 RMK MADISHF
AMW,2017-04-06 01:40,M,M,M,330.00,10.00,M,29.98,M,10.00,M,FEW,OVC,M,M,6500.00,9000.00,M,M,M,KAMW 060640Z AUTO 33010KT 10SM FEW065 OVC090 A2998 RMK MADISHF
AMW,2017-04-06 01:45,M,M,M,330.00,12.00,M,29.98,M,10.00,M,FEW,OVC,M,M,6500.00,9000.00,M,M,M,KAMW 060645Z AUTO 33012KT 10SM FEW065 OVC090 A2998 RMK MADISHF
AMW,2017-04-06 01:50,M,M,M,340.00,10.00,M,29.98,M,10.00,M,FEW,OVC,M,M,6500.00,9000.00,M,M,M,KAMW 060650Z AUTO 34010KT 10SM FEW065 OVC090 A2998 RMK MADISHF
AMW,2017-04-06 01:53,45.00,37.00,73.37,330.00,10.00,0.00,29.98,1015.40,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060653Z AUTO 33010KT 10SM OVC090 07/03 A2998 RMK AO2 SLP154 T00720028
AMW,2017-04-06 01:55,M,M,M,340.00,11.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060655Z AUTO 34011KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:00,M,M,M,340.00,10.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060700Z AUTO 34010KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:05,M,M,M,340.00,10.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060705Z AUTO 34010KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:10,M,M,M,330.00,9.00,M,29.99,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060710Z AUTO 33009KT 10SM OVC090 A2999 RMK MADISHF
AMW,2017-04-06 02:15,M,M,M,330.00,8.00,M,29.99,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060715Z AUTO 33008KT 10SM OVC090 A2999 RMK MADISHF
AMW,2017-04-06 02:20,M,M,M,330.00,10.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060720Z AUTO 33010KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:25,M,M,M,330.00,11.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060725Z AUTO 33011KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:30,M,M,M,330.00,10.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060730Z AUTO 33010KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:35,M,M,M,330.00,11.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060735Z AUTO 33011KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:40,M,M,M,340.00,13.00,M,29.98,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,M,KAMW 060740Z AUTO 34013KT 10SM OVC090 A2998 RMK MADISHF
AMW,2017-04-06 02:45,M,M,M,340.00,12.00,M,29.98,M,10.00,M,OVC,M,M,M,9500.00,M,M,M,M,KAMW 060745Z AUTO 34012KT 10SM OVC095 A2998 RMK MADISHF
AMW,2017-04-06 02:50,M,M,M,340.00,13.00,M,29.98,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060750Z AUTO 34013KT 10SM OVC100 A2998 RMK MADISHF
AMW,2017-04-06 02:53,44.10,36.00,72.99,340.00,15.00,0.00,29.98,1015.40,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060753Z AUTO 34015KT 10SM OVC100 07/02 A2998 RMK AO2 SLP154 T00670022
AMW,2017-04-06 02:55,M,M,M,340.00,14.00,M,29.98,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060755Z AUTO 34014KT 10SM OVC100 A2998 RMK MADISHF
AMW,2017-04-06 03:00,M,M,M,340.00,13.00,M,29.99,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060800Z AUTO 34013KT 10SM OVC100 A2999 RMK MADISHF
AMW,2017-04-06 03:05,M,M,M,340.00,13.00,M,29.99,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060805Z AUTO 34013KT 10SM OVC100 A2999 RMK MADISHF
AMW,2017-04-06 03:10,M,M,M,340.00,14.00,M,29.99,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060810Z AUTO 34014KT 10SM OVC100 A2999 RMK MADISHF
AMW,2017-04-06 03:15,M,M,M,340.00,14.00,M,29.99,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060815Z AUTO 34014KT 10SM OVC100 A2999 RMK MADISHF
AMW,2017-04-06 03:20,M,M,M,340.00,16.00,M,29.99,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060820Z AUTO 34016KT 10SM OVC100 A2999 RMK MADISHF
AMW,2017-04-06 03:25,M,M,M,340.00,15.00,M,29.99,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060825Z AUTO 34015KT 10SM OVC100 A2999 RMK MADISHF
AMW,2017-04-06 03:30,M,M,M,340.00,14.00,M,29.99,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060830Z AUTO 34014KT 10SM OVC100 A2999 RMK MADISHF
AMW,2017-04-06 03:35,M,M,M,340.00,16.00,M,30.00,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060835Z AUTO 34016KT 10SM OVC100 A3000 RMK MADISHF
AMW,2017-04-06 03:40,M,M,M,340.00,13.00,M,30.00,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KAMW 060840Z AUTO 34013KT 10SM OVC100 A3000 RMK MADISHF
AMW,2017-04-06 03:45,M,M,M,340.00,11.00,M,30.00,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060845Z AUTO 34011KT 10SM OVC110 A3000 RMK MADISHF
AMW,2017-04-06 03:50,M,M,M,340.00,12.00,M,30.00,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060850Z AUTO 34012KT 10SM OVC110 A3000 RMK MADISHF
AMW,2017-04-06 03:53,42.10,35.10,76.04,340.00,13.00,0.00,30.00,1016.00,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060853Z AUTO 34013KT 10SM OVC110 06/02 A3000 RMK AO2 SLP160 T00560017 53007
AMW,2017-04-06 03:55,M,M,M,340.00,13.00,M,30.00,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060855Z AUTO 34013KT 10SM OVC110 A3000 RMK MADISHF
AMW,2017-04-06 04:00,M,M,M,340.00,13.00,M,30.00,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060900Z AUTO 34013KT 10SM OVC110 A3000 RMK MADISHF
AMW,2017-04-06 04:05,M,M,M,350.00,13.00,M,30.00,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060905Z AUTO 35013KT 10SM OVC110 A3000 RMK MADISHF
AMW,2017-04-06 04:10,M,M,M,340.00,11.00,M,30.00,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060910Z AUTO 34011KT 10SM OVC110 A3000 RMK MADISHF
AMW,2017-04-06 04:15,M,M,M,340.00,10.00,M,30.00,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KAMW 060915Z AUTO 34010KT 10SM OVC110 A3000 RMK MADISHF
AMW,2017-04-06 04:20,M,M,M,340.00,10.00,M,30.01,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KAMW 060920Z AUTO 34010KT 10SM BKN110 A3001 RMK MADISHF
AMW,2017-04-06 04:25,M,M,M,340.00,12.00,M,30.01,M,10.00,17.00,BKN,M,M,M,11000.00,M,M,M,M,KAMW 060925Z AUTO 34012G17KT 10SM BKN110 A3001 RMK MADISHF
AMW,2017-04-06 04:30,M,M,M,340.00,11.00,M,30.01,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KAMW 060930Z AUTO 34011KT 10SM BKN110 A3001 RMK MADISHF
AMW,2017-04-06 04:35,M,M,M,340.00,11.00,M,30.01,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KAMW 060935Z AUTO 34011KT 10SM BKN110 A3001 RMK MADISHF
AMW,2017-04-06 04:40,M,M,M,340.00,12.00,M,30.01,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KAMW 060940Z AUTO 34012KT 10SM SCT110 A3001 RMK MADISHF
AMW,2017-04-06 04:45,M,M,M,340.00,11.00,M,30.01,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,KAMW 060945Z AUTO 34011KT 10SM FEW110 A3001 RMK MADISHF
AMW,2017-04-06 04:50,M,M,M,350.00,11.00,M,30.01,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,KAMW 060950Z AUTO 35011KT 10SM FEW110 A3001 RMK MADISHF
AMW,2017-04-06 04:53,39.90,33.10,76.44,350.00,11.00,0.00,30.01,1016.40,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,KAMW 060953Z AUTO 35011KT 10SM FEW110 04/01 A3001 RMK AO2 SLP164 T00440006
AMW,2017-04-06 04:55,M,M,M,340.00,11.00,M,30.01,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,KAMW 060955Z AUTO 34011KT 10SM FEW110 A3001 RMK MADISHF
AMW,2017-04-06 05:00,M,M,M,340.00,11.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061000Z AUTO 34011KT 10SM CLR A3002 RMK MADISHF
AMW,2017-04-06 05:05,M,M,M,340.00,12.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061005Z AUTO 34012KT 10SM CLR A3002 RMK MADISHF
AMW,2017-04-06 05:10,M,M,M,340.00,11.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061010Z AUTO 34011KT 10SM CLR A3002 RMK MADISHF
AMW,2017-04-06 05:15,M,M,M,330.00,10.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061015Z AUTO 33010KT 10SM CLR A3002 RMK MADISHF
AMW,2017-04-06 05:20,M,M,M,330.00,9.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061020Z AUTO 33009KT 10SM CLR A3002 RMK MADISHF
AMW,2017-04-06 05:25,M,M,M,320.00,10.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061025Z AUTO 32010KT 10SM CLR A3003 RMK MADISHF
AMW,2017-04-06 05:30,M,M,M,320.00,10.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061030Z AUTO 32010KT 10SM CLR A3003 RMK MADISHF
AMW,2017-04-06 05:35,M,M,M,330.00,10.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061035Z AUTO 33010KT 10SM CLR A3003 RMK MADISHF
AMW,2017-04-06 05:40,M,M,M,330.00,11.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061040Z AUTO 33011KT 10SM CLR A3004 RMK MADISHF
AMW,2017-04-06 05:45,M,M,M,320.00,11.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061045Z AUTO 32011KT 10SM CLR A3004 RMK MADISHF
AMW,2017-04-06 05:50,M,M,M,330.00,11.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061050Z AUTO 33011KT 10SM CLR A3004 RMK MADISHF
AMW,2017-04-06 05:53,37.90,32.00,79.08,330.00,10.00,0.00,30.04,1017.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061053Z AUTO 33010KT 10SM CLR 03/00 A3004 RMK AO2 SLP174 T00330000
AMW,2017-04-06 05:55,M,M,M,330.00,11.00,M,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061055Z AUTO 33011KT 10SM CLR A3004 RMK MADISHF
AMW,2017-04-06 06:00,M,M,M,330.00,11.00,M,30.04,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,KAMW 061100Z AUTO 33011KT 10SM FEW110 A3004 RMK MADISHF
AMW,2017-04-06 06:05,M,M,M,330.00,11.00,M,30.05,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KAMW 061105Z AUTO 33011KT 10SM SCT110 A3005 RMK MADISHF
AMW,2017-04-06 06:10,M,M,M,330.00,10.00,M,30.05,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KAMW 061110Z AUTO 33010KT 10SM SCT110 A3005 RMK MADISHF
AMW,2017-04-06 06:15,M,M,M,330.00,11.00,M,30.05,M,10.00,16.00,SCT,M,M,M,11000.00,M,M,M,M,KAMW 061115Z AUTO 33011G16KT 10SM SCT110 A3005 RMK MADISHF
AMW,2017-04-06 06:20,M,M,M,330.00,9.00,M,30.05,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KAMW 061120Z AUTO 33009KT 10SM BKN110 A3005 RMK MADISHF
AMW,2017-04-06 06:25,M,M,M,330.00,10.00,M,30.06,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KAMW 061125Z AUTO 33010KT 10SM BKN110 A3006 RMK MADISHF
AMW,2017-04-06 06:30,M,M,M,330.00,9.00,M,30.06,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KAMW 061130Z AUTO 33009KT 10SM SCT110 A3006 RMK MADISHF
AMW,2017-04-06 06:35,M,M,M,330.00,10.00,M,30.06,M,10.00,M,SCT,M,M,M,11000.00,M,M,M,M,KAMW 061135Z AUTO 33010KT 10SM SCT110 A3006 RMK MADISHF
AMW,2017-04-06 06:40,M,M,M,330.00,10.00,M,30.06,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,KAMW 061140Z AUTO 33010KT 10SM FEW110 A3006 RMK MADISHF
AMW,2017-04-06 06:45,M,M,M,330.00,11.00,M,30.07,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KAMW 061145Z AUTO 33011KT 10SM FEW120 A3007 RMK MADISHF
AMW,2017-04-06 06:50,M,M,M,330.00,11.00,M,30.07,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KAMW 061150Z AUTO 33011KT 10SM FEW120 A3007 RMK MADISHF
AMW,2017-04-06 06:53,37.00,30.90,78.37,330.00,11.00,0.00,30.07,1018.60,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,KAMW 061153Z AUTO 33011KT 10SM FEW120 03/M01 A3007 RMK AO2 SLP186 70003 T00281006 10072 20028 53024
AMW,2017-04-06 06:55,M,M,M,330.00,11.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061155Z AUTO 33011KT 10SM CLR A3007 RMK MADISHF
AMW,2017-04-06 07:00,M,M,M,330.00,12.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061200Z AUTO 33012KT 10SM CLR A3008 RMK MADISHF
AMW,2017-04-06 07:05,M,M,M,330.00,11.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061205Z AUTO 33011KT 10SM CLR A3008 RMK MADISHF
AMW,2017-04-06 07:10,M,M,M,330.00,11.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061210Z AUTO 33011KT 10SM CLR A3008 RMK MADISHF
AMW,2017-04-06 07:15,M,M,M,320.00,12.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061215Z AUTO 32012KT 10SM CLR A3009 RMK MADISHF
AMW,2017-04-06 07:20,M,M,M,330.00,13.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061220Z AUTO 33013KT 10SM CLR A3009 RMK MADISHF
AMW,2017-04-06 07:25,M,M,M,340.00,11.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061225Z AUTO 34011KT 10SM CLR A3009 RMK MADISHF
AMW,2017-04-06 07:30,M,M,M,330.00,13.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061230Z AUTO 33013KT 10SM CLR A3009 RMK MADISHF
AMW,2017-04-06 07:35,M,M,M,340.00,12.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061235Z AUTO 34012KT 10SM CLR A3009 RMK MADISHF
AMW,2017-04-06 07:40,M,M,M,350.00,12.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061240Z AUTO 35012KT 10SM CLR A3010 RMK MADISHF
AMW,2017-04-06 07:45,M,M,M,340.00,12.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061245Z AUTO 34012KT 10SM CLR A3010 RMK MADISHF
AMW,2017-04-06 07:50,M,M,M,340.00,11.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061250Z AUTO 34011KT 10SM CLR A3010 RMK MADISHF
AMW,2017-04-06 07:53,37.00,30.90,78.37,340.00,12.00,0.00,30.10,1019.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061253Z AUTO 34012KT 10SM CLR 03/M01 A3010 RMK AO2 SLP196 T00281006
AMW,2017-04-06 07:55,M,M,M,340.00,11.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061255Z AUTO 34011KT 10SM CLR A3010 RMK MADISHF
AMW,2017-04-06 08:00,M,M,M,340.00,11.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061300Z AUTO 34011KT 10SM CLR A3010 RMK MADISHF
AMW,2017-04-06 08:05,M,M,M,340.00,10.00,M,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 061305Z AUTO 34010KT 10SM CLR A3011 RMK MADISHF
