#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-07 00:00:00-05:00 2017-04-08 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMW,2017-04-07 00:00,M,M,M,320.00,4.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070500Z AUTO 32004KT 10SM CLR A3019 RMK MADISHF
AMW,2017-04-07 00:05,M,M,M,320.00,4.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070505Z AUTO 32004KT 10SM CLR A3019 RMK MADISHF
AMW,2017-04-07 00:10,M,M,M,310.00,5.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070510Z AUTO 31005KT 10SM CLR A3019 RMK MADISHF
AMW,2017-04-07 00:15,M,M,M,310.00,5.00,M,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070515Z AUTO 31005KT 10SM CLR A3019 RMK MADISHF
AMW,2017-04-07 00:20,M,M,M,310.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070520Z AUTO 31005KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 00:25,M,M,M,310.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070525Z AUTO 31005KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 00:30,M,M,M,320.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070530Z AUTO 32005KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 00:35,M,M,M,330.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070535Z AUTO 33004KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 00:40,M,M,M,320.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070540Z AUTO 32003KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 00:45,M,M,M,0.00,0.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070545Z AUTO 00000KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 00:50,M,M,M,0.00,0.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070550Z AUTO 00000KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 00:53,37.90,28.00,67.20,0.00,0.00,0.00,30.20,1022.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070553Z AUTO 00000KT 10SM CLR 03/M02 A3020 RMK AO2 SLP229 T00331022 10111 20022 401280022 53002
AMW,2017-04-07 00:55,M,M,M,0.00,0.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070555Z AUTO 00000KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:00,M,M,M,0.00,0.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070600Z AUTO 00000KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:05,M,M,M,360.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070605Z AUTO 36003KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:10,M,M,M,360.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070610Z AUTO 36003KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:15,M,M,M,350.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070615Z AUTO 35003KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:20,M,M,M,340.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070620Z AUTO 34003KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:25,M,M,M,350.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070625Z AUTO 35004KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:30,M,M,M,350.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070630Z AUTO 35004KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:35,M,M,M,350.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070635Z AUTO 35004KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:40,M,M,M,340.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070640Z AUTO 34005KT 10SM CLR A3020 RMK MADISHF
AMW,2017-04-07 01:45,M,M,M,340.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 070645Z AUTO 34005KT 10SM CLR A3020 RMK MADISHF
