#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-07 00:00:00-05:00 2017-04-08 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
DSM,2017-04-07 00:00,M,M,M,320.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070500Z AUTO 32003KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:05,M,M,M,300.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070505Z AUTO 30004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:10,M,M,M,290.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070510Z AUTO 29005KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:15,M,M,M,290.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070515Z AUTO 29005KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:20,M,M,M,290.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070520Z AUTO 29005KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:25,M,M,M,310.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070525Z AUTO 31004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:30,M,M,M,310.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070530Z AUTO 31004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:35,M,M,M,320.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070535Z AUTO 32003KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:40,M,M,M,320.00,3.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070540Z AUTO 32003KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:45,M,M,M,310.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070545Z AUTO 31004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:50,M,M,M,310.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070550Z AUTO 31004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 00:54,43.00,28.00,55.14,330.00,4.00,0.00,30.20,1023.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070554Z 33004KT 10SM CLR 06/M02 A3020 RMK AO2 SLP231 T00611022 10122 20039 401390028 51004
DSM,2017-04-07 00:55,M,M,M,320.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070555Z AUTO 32004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 01:00,M,M,M,330.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070600Z AUTO 33005KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 01:05,M,M,M,320.00,5.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070605Z AUTO 32005KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 01:10,M,M,M,320.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070610Z AUTO 32004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 01:15,M,M,M,320.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070615Z AUTO 32004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:20,M,M,M,320.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070620Z AUTO 32004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:25,M,M,M,310.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070625Z AUTO 31004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:30,M,M,M,310.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070630Z AUTO 31004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:35,M,M,M,310.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070635Z AUTO 31004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:40,M,M,M,310.00,3.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070640Z AUTO 31003KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:45,M,M,M,330.00,3.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070645Z AUTO 33003KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:50,M,M,M,340.00,3.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070650Z AUTO 34003KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 01:54,39.00,28.00,64.37,330.00,3.00,0.00,30.21,1023.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070654Z 33003KT 10SM CLR 04/M02 A3021 RMK AO2 SLP232 T00391022
DSM,2017-04-07 01:55,M,M,M,330.00,3.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070655Z AUTO 33003KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 02:00,M,M,M,320.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070700Z AUTO 32004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 02:05,M,M,M,320.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070705Z AUTO 32004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 02:10,M,M,M,320.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070710Z AUTO 32004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 02:15,M,M,M,330.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070715Z AUTO 33004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 02:20,M,M,M,330.00,4.00,M,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070720Z AUTO 33004KT 10SM CLR A3020 RMK MADISHF
DSM,2017-04-07 02:25,M,M,M,330.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070725Z AUTO 33004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 02:30,M,M,M,320.00,4.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070730Z AUTO 32004KT 10SM CLR A3021 RMK MADISHF
DSM,2017-04-07 02:35,M,M,M,0.00,0.00,M,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KDSM 070735Z AUTO 00000KT 10SM CLR A3021 RMK MADISHF
