#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-19 00:00:00-05:00 2017-04-20 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMW,2017-04-19 00:00,M,M,M,360.00,8.00,M,30.00,M,10.00,M,BKN,OVC,M,M,6000.00,7500.00,M,M,M,KAMW 190500Z AUTO 36008KT 10SM BKN060 OVC075 A3000 RMK MADISHF
AMW,2017-04-19 00:05,M,M,M,10.00,8.00,M,30.00,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAMW 190505Z AUTO 01008KT 10SM OVC060 A3000 RMK MADISHF
AMW,2017-04-19 00:10,M,M,M,360.00,8.00,M,30.00,M,10.00,M,BKN,OVC,M,M,6500.00,7999.00,M,M,M,KAMW 190510Z AUTO 36008KT 10SM BKN065 OVC079 A3000 RMK MADISHF
AMW,2017-04-19 00:15,M,M,M,360.00,7.00,M,30.00,M,10.00,M,BKN,OVC,M,M,6500.00,7999.00,M,M,M,KAMW 190515Z AUTO 36007KT 10SM BKN065 OVC079 A3000 RMK MADISHF
AMW,2017-04-19 00:20,M,M,M,360.00,8.00,M,30.00,M,10.00,M,BKN,OVC,M,M,6500.00,7999.00,M,M,M,KAMW 190520Z AUTO 36008KT 10SM BKN065 OVC079 A3000 RMK MADISHF
AMW,2017-04-19 00:25,M,M,M,360.00,8.00,M,30.00,M,10.00,M,BKN,OVC,M,M,7000.00,7999.00,M,M,M,KAMW 190525Z AUTO 36008KT 10SM BKN070 OVC079 A3000 RMK MADISHF
AMW,2017-04-19 00:30,M,M,M,10.00,7.00,M,29.99,M,10.00,M,BKN,OVC,M,M,7000.00,7999.00,M,M,M,KAMW 190530Z AUTO 01007KT 10SM BKN070 OVC079 A2999 RMK MADISHF
AMW,2017-04-19 00:35,M,M,M,10.00,6.00,M,29.99,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KAMW 190535Z AUTO 01006KT 10SM BKN070 A2999 RMK MADISHF
AMW,2017-04-19 00:40,M,M,M,20.00,5.00,M,29.99,M,10.00,M,BKN,BKN,M,M,6500.00,7999.00,M,M,M,KAMW 190540Z AUTO 02005KT 10SM BKN065 BKN079 A2999 RMK MADISHF
AMW,2017-04-19 00:45,M,M,M,20.00,5.00,M,30.00,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,KAMW 190545Z AUTO 02005KT 10SM BKN070 A3000 RMK MADISHF
AMW,2017-04-19 00:50,M,M,M,30.00,6.00,M,30.00,M,10.00,M,BKN,OVC,M,M,6000.00,7500.00,M,M,M,KAMW 190550Z AUTO 03006KT 10SM BKN060 OVC075 A3000 RMK MADISHF
AMW,2017-04-19 00:53,57.90,53.10,84.00,30.00,4.00,0.00,30.00,1015.20,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KAMW 190553Z AUTO 03004KT 10SM OVC065 14/12 A3000 RMK AO2 SLP152 T01440117 10183 20139 402060106 51014
AMW,2017-04-19 00:55,M,M,M,20.00,6.00,M,30.00,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KAMW 190555Z AUTO 02006KT 10SM OVC065 A3000 RMK MADISHF
AMW,2017-04-19 01:00,M,M,M,30.00,8.00,M,30.00,M,10.00,M,BKN,OVC,M,M,6000.00,7999.00,M,M,M,KAMW 190600Z AUTO 03008KT 10SM BKN060 OVC079 A3000 RMK MADISHF
AMW,2017-04-19 01:05,M,M,M,20.00,8.00,M,30.00,M,10.00,M,BKN,OVC,M,M,6000.00,7999.00,M,M,M,KAMW 190605Z AUTO 02008KT 10SM BKN060 OVC079 A3000 RMK MADISHF
AMW,2017-04-19 01:10,M,M,M,10.00,8.00,M,30.00,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAMW 190610Z AUTO 01008KT 10SM OVC060 A3000 RMK MADISHF
AMW,2017-04-19 01:15,M,M,M,360.00,8.00,M,30.01,M,9.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAMW 190615Z AUTO 36008KT 9SM OVC060 A3001 RMK MADISHF
AMW,2017-04-19 01:20,M,M,M,360.00,11.00,M,30.01,M,8.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAMW 190620Z AUTO 36011KT 8SM OVC060 A3001 RMK MADISHF
AMW,2017-04-19 01:25,M,M,M,360.00,8.00,M,30.01,M,9.00,M,OVC,M,M,M,6500.00,M,M,M,M,KAMW 190625Z AUTO 36008KT 9SM OVC065 A3001 RMK MADISHF
AMW,2017-04-19 01:30,M,M,M,10.00,11.00,M,30.01,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAMW 190630Z AUTO 01011KT 10SM OVC060 A3001 RMK MADISHF
AMW,2017-04-19 01:35,M,M,M,20.00,10.00,M,30.01,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KAMW 190635Z AUTO 02010KT 10SM OVC065 A3001 RMK MADISHF
AMW,2017-04-19 01:40,M,M,M,10.00,11.00,M,30.01,M,9.00,M,BKN,M,M,M,6500.00,M,M,M,M,KAMW 190640Z AUTO 01011KT 9SM BKN065 A3001 RMK MADISHF
AMW,2017-04-19 01:45,M,M,M,10.00,11.00,M,30.02,M,7.00,M,BKN,M,M,M,6500.00,M,M,M,M,KAMW 190645Z AUTO 01011KT 7SM BKN065 A3002 RMK MADISHF
AMW,2017-04-19 01:50,M,M,M,360.00,12.00,M,30.02,M,8.00,M,BKN,M,M,M,6500.00,M,M,M,M,KAMW 190650Z AUTO 36012KT 8SM BKN065 A3002 RMK MADISHF
AMW,2017-04-19 01:53,55.00,51.10,86.66,360.00,11.00,0.00,30.03,1016.40,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KAMW 190653Z AUTO 36011KT 10SM BKN060 13/11 A3003 RMK AO2 SLP164 T01280106
