#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-13 00:00:00-05:00 2017-04-19 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMW,2017-04-13 00:00,M,M,M,130.00,5.00,M,30.12,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAMW 130500Z AUTO 13005KT 10SM OVC070 A3012 RMK  LTG DSNT N AND NE! MADISHF
AMW,2017-04-13 00:05,M,M,M,140.00,4.00,M,30.12,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAMW 130505Z AUTO 14004KT 10SM OVC070 A3012 RMK  LTG DSNT NE! MADISHF
AMW,2017-04-13 00:10,M,M,M,140.00,3.00,M,30.12,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAMW 130510Z AUTO 14003KT 10SM OVC070 A3012 RMK  LTG DSNT NE! MADISHF
AMW,2017-04-13 00:15,M,M,M,150.00,4.00,M,30.12,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAMW 130515Z AUTO 15004KT 10SM OVC070 A3012 RMK MADISHF
AMW,2017-04-13 00:16,57.90,52.00,80.67,150.00,5.00,0.00,30.12,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KAMW 130516Z AUTO 15005KT 10SM OVC070 14/11 A3012 RMK AO2 RAE0459 P0000 T01440111
AMW,2017-04-13 00:20,M,M,M,160.00,6.00,M,30.12,M,10.00,M,BKN,OVC,M,M,7000.00,8500.00,M,M,M,KAMW 130520Z AUTO 16006KT 10SM BKN070 OVC085 A3012 RMK MADISHF
AMW,2017-04-13 00:25,M,M,M,150.00,7.00,M,30.11,M,10.00,M,BKN,OVC,M,M,7000.00,8500.00,M,M,M,KAMW 130525Z AUTO 15007KT 10SM BKN070 OVC085 A3011 RMK MADISHF
AMW,2017-04-13 00:30,M,M,M,140.00,7.00,M,30.10,M,10.00,M,BKN,BKN,M,M,7000.00,8500.00,M,M,M,KAMW 130530Z AUTO 14007KT 10SM BKN070 BKN085 A3010 RMK MADISHF
AMW,2017-04-13 00:35,M,M,M,150.00,5.00,M,30.11,M,10.00,M,BKN,BKN,M,M,6500.00,8500.00,M,M,M,KAMW 130535Z AUTO 15005KT 10SM BKN065 BKN085 A3011 RMK MADISHF
AMW,2017-04-13 00:40,M,M,M,150.00,5.00,M,30.11,M,10.00,M,BKN,OVC,M,M,6000.00,7999.00,M,M,-RA,KAMW 130540Z AUTO 15005KT 10SM -RA BKN060 OVC079 A3011 RMK  LTG DSNT N AND NW! MADISHF
AMW,2017-04-13 00:45,M,M,M,150.00,5.00,M,30.11,M,10.00,M,BKN,OVC,M,M,6500.00,8500.00,M,M,-RA,KAMW 130545Z AUTO 15005KT 10SM -RA BKN065 OVC085 A3011 RMK  LTG DSNT NW-NE! MADISHF
AMW,2017-04-13 00:50,M,M,M,160.00,5.00,M,30.11,M,10.00,M,BKN,OVC,M,M,6000.00,7500.00,M,M,M,KAMW 130550Z AUTO 16005KT 10SM BKN060 OVC075 A3011 RMK  LTG DSNT NW-NE! MADISHF
AMW,2017-04-13 00:53,59.00,51.10,75.02,170.00,6.00,0.00,30.10,1018.90,10.00,M,BKN,BKN,M,M,6000.00,7500.00,M,M,M,KAMW 130553Z AUTO 17006KT 10SM BKN060 BKN075 15/11 A3010 RMK AO2 LTG DSNT N AND NE RAE0459B37E46 SLP189 P0000 60000 T01500106 10183 20128 402000028 56013
AMW,2017-04-13 00:55,M,M,M,170.00,6.00,M,30.11,M,10.00,M,BKN,BKN,OVC,M,6000.00,7500.00,9000.00,M,M,KAMW 130555Z AUTO 17006KT 10SM BKN060 BKN075 OVC090 A3011 RMK  LTG DSNT NE! MADISHF
AMW,2017-04-13 01:00,M,M,M,180.00,4.00,M,30.11,M,10.00,M,BKN,BKN,OVC,M,6000.00,7500.00,9000.00,M,M,KAMW 130600Z AUTO 18004KT 10SM BKN060 BKN075 OVC090 A3011 RMK  LTG DSNT NE! MADISHF
AMW,2017-04-13 01:05,60.10,50.00,69.24,0.00,0.00,0.00,30.11,M,10.00,M,BKN,OVC,M,M,6000.00,7500.00,M,M,VCTS,KAMW 130605Z AUTO 00000KT 10SM VCTS BKN060 OVC075 16/10 A3011 RMK AO2 LTG DSNT NE T01560100
AMW,2017-04-13 01:10,M,M,M,290.00,3.00,M,30.12,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KAMW 130610Z AUTO 29003KT 10SM OVC060 A3012 RMK  LTG DSNT NE! MADISHF
AMW,2017-04-13 01:15,M,M,M,340.00,8.00,M,30.12,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KAMW 130615Z AUTO 34008KT 10SM OVC055 A3012 RMK  LTG DSNT NE! MADISHF
AMW,2017-04-13 01:20,57.00,53.10,86.77,340.00,10.00,0.00,30.12,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KAMW 130620Z AUTO 34010KT 10SM OVC055 14/12 A3012 RMK AO2 LTG DSNT NE T01390117
AMW,2017-04-13 01:25,M,M,M,360.00,8.00,M,30.12,M,10.00,M,OVC,M,M,M,5500.00,M,M,M,M,KAMW 130625Z AUTO 36008KT 10SM OVC055 A3012 RMK  LTG DSNT NE AND E! MADISHF
AMW,2017-04-13 01:30,M,M,M,350.00,9.00,M,30.13,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KAMW 130630Z AUTO 35009KT 10SM -RA OVC050 A3013 RMK  LTG DSNT NE AND E! MADISHF
AMW,2017-04-13 01:34,57.90,52.00,80.67,340.00,14.00,0.00,30.14,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-TSRA,KAMW 130634Z AUTO 34014KT 10SM -TSRA OVC050 14/11 A3014 RMK AO2 LTG DSNT E RAB26 TSB34 PRESRR P0000 T01440111
AMW,2017-04-13 01:35,M,M,M,M,M,M,30.14,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KAMW 130635Z AUTO /////KT 10SM -RA OVC050 A3014 RMK  LTG DSNT E! MADISHF
AMW,2017-04-13 01:40,M,M,M,M,M,M,30.14,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KAMW 130640Z AUTO /////KT 10SM -RA OVC050 A3014 RMK  LTG DSNT E! MADISHF
AMW,2017-04-13 01:45,M,M,M,30.00,5.00,M,30.13,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,-RA,KAMW 130645Z AUTO 03005KT 10SM -RA OVC050 A3013 RMK MADISHF
