#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-12 00:00:00-05:00 2017-04-13 00:00:00-05:00
#DEBUG: Time Zone     -> America/Chicago
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AMW,2017-04-12 00:00,M,M,M,160.00,5.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120500Z AUTO 16005KT 10SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:05,M,M,M,130.00,4.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120505Z AUTO 13004KT 10SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:10,M,M,M,130.00,4.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120510Z AUTO 13004KT 10SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:15,M,M,M,0.00,0.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120515Z AUTO 00000KT 10SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:20,M,M,M,0.00,0.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120520Z AUTO 00000KT 10SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:25,M,M,M,0.00,0.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120525Z AUTO 00000KT 10SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:30,M,M,M,130.00,3.00,M,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120530Z AUTO 13003KT 10SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:35,M,M,M,140.00,3.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120535Z AUTO 14003KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:40,M,M,M,120.00,3.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120540Z AUTO 12003KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:45,M,M,M,0.00,0.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120545Z AUTO 00000KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:50,M,M,M,0.00,0.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120550Z AUTO 00000KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 00:53,41.00,34.00,75.94,0.00,0.00,0.00,30.25,1024.50,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120553Z AUTO 00000KT 9SM CLR 05/01 A3025 RMK AO2 SLP245 T00500011 10156 20044 401610039 50003
AMW,2017-04-12 00:55,M,M,M,0.00,0.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120555Z AUTO 00000KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:00,M,M,M,0.00,0.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120600Z AUTO 00000KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:05,M,M,M,140.00,3.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120605Z AUTO 14003KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:10,M,M,M,140.00,4.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120610Z AUTO 14004KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:15,M,M,M,130.00,4.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120615Z AUTO 13004KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:20,M,M,M,140.00,4.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120620Z AUTO 14004KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:25,M,M,M,140.00,3.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120625Z AUTO 14003KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:30,M,M,M,140.00,4.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120630Z AUTO 14004KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:35,M,M,M,140.00,3.00,M,30.25,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120635Z AUTO 14003KT 9SM CLR A3025 RMK MADISHF
AMW,2017-04-12 01:40,M,M,M,150.00,5.00,M,30.24,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120640Z AUTO 15005KT 9SM CLR A3024 RMK MADISHF
AMW,2017-04-12 01:45,M,M,M,150.00,5.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120645Z AUTO 15005KT 10SM CLR A3024 RMK MADISHF
AMW,2017-04-12 01:50,M,M,M,150.00,5.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120650Z AUTO 15005KT 10SM CLR A3024 RMK MADISHF
AMW,2017-04-12 01:53,39.90,33.10,76.44,150.00,5.00,0.00,30.24,1024.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120653Z AUTO 15005KT 10SM CLR 04/01 A3024 RMK AO2 SLP243 T00440006
AMW,2017-04-12 01:55,M,M,M,150.00,5.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120655Z AUTO 15005KT 10SM CLR A3024 RMK MADISHF
AMW,2017-04-12 02:00,M,M,M,150.00,4.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120700Z AUTO 15004KT 10SM CLR A3024 RMK MADISHF
AMW,2017-04-12 02:05,M,M,M,140.00,4.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120705Z AUTO 14004KT 10SM CLR A3024 RMK MADISHF
AMW,2017-04-12 02:10,M,M,M,140.00,4.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120710Z AUTO 14004KT 10SM CLR A3024 RMK MADISHF
AMW,2017-04-12 02:15,M,M,M,140.00,5.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120715Z AUTO 14005KT 10SM CLR A3023 RMK MADISHF
AMW,2017-04-12 02:20,M,M,M,140.00,6.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120720Z AUTO 14006KT 10SM CLR A3023 RMK MADISHF
AMW,2017-04-12 02:25,M,M,M,140.00,7.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120725Z AUTO 14007KT 10SM CLR A3023 RMK MADISHF
AMW,2017-04-12 02:30,M,M,M,140.00,7.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120730Z AUTO 14007KT 10SM CLR A3023 RMK MADISHF
AMW,2017-04-12 02:35,M,M,M,140.00,6.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120735Z AUTO 14006KT 10SM CLR A3023 RMK MADISHF
AMW,2017-04-12 02:40,M,M,M,150.00,5.00,M,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120740Z AUTO 15005KT 10SM CLR A3023 RMK MADISHF
AMW,2017-04-12 02:45,M,M,M,150.00,4.00,M,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KAMW 120745Z AUTO 15004KT 10SM CLR A3024 RMK MADISHF
